Downloaded from
https://www.nutritionvalue.org

Food,Amount,Unit,Description
"Cilantro by ROUNDY'S",100,g,

Nutrient,Amount,Unit,DV
Calories,0,,
"Vitamin C [Ascorbic acid]",0.0,mg,0 %
"Calcium",0.00,mg,0 %
"Iron",0.00,mg,0 %
"Sodium",0.00,mg,0 %
"Protein",0.00,g,0 %
"Carbohydrate",0.00,g,0 %
"Fiber",0.00,g,0 %
"Sugars",0.00,g,
"Net carbs",0,g,
"Fat",0.000,g,0 %
"Saturated fatty acids",0.000,g,0 %
"Fatty acids, total trans",0.000,g,
"Cholesterol",0.00,mg,0 %

* DV is based on 2000 calories diet.

Downloaded from
https://www.nutritionvalue.org
