Ingredient,Amount,Unit,Description
"Brown rice",185,g,"1 cup"
"Chicken bouillon powder",4,g,"1 tsp"
"Water",240,g,"1 cup"
"Yellow squash",907,g,"2 lb"
"Sesame oil",10,g,"2 tsp"
"Salt",6,g,"1 tsp"
"Black pepper, ground",3,g,"1 tsp"
"Garlic, fresh",30,g,"1 small head"
"Ginger, fresh",28,g,"1 oz"
"Peanuts",60,g,"1/2 cup"
"Boneless skinless chicken breast",907,g,"2 lb"
"Sesame oil",5,g,"1 tsp"
"Soy sauce, low sodium, gluten free",60,g,"4 tbsp"
"Balsamic vinegar",30,g,"2 tbsp"
"White vinegar",30,g,"2 tbsp"
"Gochujang",36,g,"2 tbsp"
"Liquid monk fruit",2.5,g,"1/2 tsp"
"Cornstarch",8,g,"1 tbsp"
Servings,6
