Ingredient,Amount,Unit,Description
"Peanuts",128,g,"1 cup"
"Oat flour",40,g,"6 tbsp"
"Maple syrup",40,g,"2 tbsp"
"Unsweetened vanilla almond milk",15,g,"1 tbsp"
"Cocoa powder",11,g,"2 tbsp"
"Vanilla extract",4,g,"1 tsp"
"Cinnamon",3,g,"1 tsp"
"Salt",0,g,"Pinch"
"Banana, overripe",330,g,"3 medium"
"Natural peanut butter",192,g,"3/4 cup"
"Powdered peanut butter",48,g,"1/2 cup"
"Unsweetened vanilla almond milk",45,g,"3 tbsp"
"Maple syrup",40,g,"2 tbsp"
"Oat flour",30,g,"1/3 cup"
"Vanilla extract",10,g,"2 tsp"
Servings,12
