Ingredient,Amount,Unit,Description
"Water",320,g,"1.33 cup"
"Oat flour",30,g,"1/3 cup"
"Quick oats",30,g,"6 tbsp"
"Cocoa powder",30,g,"6 tbsp"
"Whey protein powder, unflavored",30,g,"1 scoop"
"Casein protein powder, unflavored",30,g,"1 scoop"
"Coconut flour",30,g,"1/4 cup"
"Chia seeds",30,g,"2.5 tbsp"
"Sugar free syrup",80,g,"1/3 cup"
"Salt",1,g,"Large pinch"
"Cinnamon",3,g,"1 tsp"
"Almond extract",2,g,"1/2 tsp"
"Plain nonfat greek yogurt",90,g,"6 tbsp"
"Walnut butter",30,g,"2 tbsp"
Servings,23
