Ingredient,Amount,Unit,Description
"Extra virgin olive oil by QO",14,g,"1 tbsp (15.0 ml) aprx"
"Onions, raw",140,g,"2 small"
"Peppers, raw, red, sweet",222,g,"3 small"
"Minced garlic by STONEMILL",30,g,"6 tsp"
"Spices, chili powder",32,g,"4 tbsp"
"Cumin ground by ROUNDY'S",10,g,"3 tsp"
"Salt, table",9,g,"1.5 tsp"
"Turkey, raw, 7% fat, 93% lean, ground",590,g,"1.3 pound"
"Tomatoes, canned, crushed",794,g,"28 ounce"
"Tomatoes, diced, ripe, red, canned",397,g,"14 ounce"
"Beans, drained solids, canned, pinto",1108,g,"4 can drained solids"
"Cocoa, unsweetened, dry powder",5,g,"1 tbsp"
Servings,8
