Ingredient,Amount,Unit,Description
"Almond butter by JUSTIN'S",64,g,"4 tbsp"
"Granulated no calorie sweetener with erythritol & monk fruit extract by Topco Associates, Inc.",96,g,"24 tsp"
"Applesauce, unsweetened",61,g,"0.25 cup"
"Yogurt, plain, nonfat milk, Greek",61,g,"0.25 cup"
"Unsweetened vanilla almond milk, unsweetened vanilla by Danone US, LLC",30,g,"0.125 cup (240.0 ml) aprx"
"Eggs, egg whole, Large, Grade A",101,g,"2 egg"
"Pure almond extract by FIRST STREET",5,g,"1 tsp (1.2 ml) aprx"
"Baking powder by The Kroger Co.",5,g,"1 tsp"
"Salt, table",2,g,"0.25 tsp"
"Cereals, Dry, Quick Oats, QUAKER",100,g,"1.25 cup"
"Smucker's Raspberry Sugar Free Jam",136,g,"8 Tbsp"
"Oil, coconut",55,g,"0.25 cup"
"Cocoa, unsweetened, dry powder",38,g,"7 tbsp"
"Sugar substitute, liquid, stevia",5,g,"1 teaspoon"
"Table salt by FIRST STREET",1,g,"0.125 tsp | about"
Servings,36
