Ingredient,Amount,Unit,Description
"Boneless skinless chicken breast",907,g,"2 lb"
"Low sodium soy sauce",57,g,"1/4 cup"
"Gochujang",36,g,"2 tbsp"
"Lemon juice",30,g,"2 tbsp"
"Black pepper, ground",5,g,"2 tsp, ground"
"Paprika",5,g,"2 tsp"
"Chili powder",5,g,"2 tsp"
"Onion powder",5,g,"2 tsp"
"Frozen brussel sprouts, thawed",907,g,"2 lb"
"Low sodium soy sauce",56,g,"1/4 cup"
"Sesame oil",28,g,"2 tbsp"
"Lemon juice",30,g,"2 tbsp"
"Black pepper, ground",6,g,"2 tsp"
"Paprika",5,g,"2 tsp"
"Chili powder",4,g,"2 tsp"
"Garlic powder",4,g,"2 tsp"
Servings,6
