Ingredient,Amount,Unit,Description
"Plain greek nonfat yogurt by NOSTIMO",340,g,"1.5 cup"
"Avocados, California, raw",136,g,"1 fruit, without skin and seed"
"Chia seed by NO BRAND",56,g,"5 tbsp"
"Unflavored 100% whey protein isolate protein powder, unflavored by ISOPURE",30,g,"1 scoop"
"Spices, ground, cinnamon",8,g,"3 tsp"
"Pure almond extract by FIRST STREET",5,g,"1 tsp"
"Spices, ground, ginger",2,g,"1 tsp"
"Unsweetened vanilla almond milk, unsweetened vanilla by Supervalu, Inc.",120,g,"0.5 cup"
"Blueberries, frozen, wild",280,g,"2 cup, frozen"
Servings,2
