Nutrient,Amount,Unit,DV
Calories,388,,
"Vitamin A, RAE",1010.14,mcg,112 %
"Carotene, alpha",84.47,mcg,
"Carotene, beta",11320.24,mcg,
"Cryptoxanthin, beta",583.24,mcg,
"Lutein + zeaxanthin",9675,mcg,
"Lycopene",1543.92,mcg,
"Retinol",37.61,mcg,
"Thiamin [Vitamin B1]",0.317,mg,26 %
"Riboflavin [Vitamin B2]",0.705,mg,54 %
"Niacin [Vitamin B3]",14.808,mg,93 %
"Pantothenic acid [Vitamin B5]",1.011,mg,20 %
"Vitamin B6",1.094,mg,64 %
"Vitamin B12 [Cobalamin]",3.56,mcg,148 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",352.21,mcg,88 %
"Folate, food",344.23,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",180.7,mg,201 %
"Vitamin D",1.42,mcg,7 %
"Vitamin D3",1.42,mcg,
"Vitamin E (alpha-tocopherol)",3.95,mg,26 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",3.95,mg,
"Tocopherol, beta",0.06,mg,
"Tocopherol, delta",0.02,mg,
"Tocopherol, gamma",0.72,mg,
"Tocotrienol, alpha",0.11,mg,
"Tocotrienol, beta",0.01,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",401.9,mcg,335 %
"Vitamin K1 [Phylloquinone]",401.9,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",63.4,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",79.6,mg,14 %
"Calcium",300.67,mg,23 %
"Copper",0.38,mg,42 %
"Fluoride",21.3,mcg,
"Iodine",0,mcg,0 %
"Iron",6.33,mg,35 %
"Magnesium",127.65,mg,30 %
"Manganese",1.255,mg,55 %
"Phosphorus",443.19,mg,35 %
"Potassium",1497.46,mg,32 %
"Selenium",90.14,mcg,164 %
"Sodium",699.46,mg,30 %
"Zinc",2.93,mg,27 %
"Protein",41.24,g,82 %
"Alanine",1.718,g,
"Arginine",1.993,g,
"Aspartic acid",3.364,g,
"Cystine",0.335,g,
"Cysteine",0.04,g,
"Glutamic acid",4.976,g,
"Glycine",1.421,g,
"Histidine",0.855,g,75 %
"Hydroxyproline",0,g,
"Isoleucine",1.39,g,90 %
"Leucine",2.43,g,71 %
"Lysine",2.475,g,80 %
"Methionine",0.78,g,
"Phenylalanine",1.327,g,
"Proline",1.285,g,
"Serine",1.399,g,
"Threonine",1.321,g,81 %
"Tryptophan",0.346,g,85 %
"Tyrosine",1.056,g,
"Valine",1.599,g,82 %
"Phenylalanine + Tyrosine",2.383,g,88 %
"Methionine + Cysteine",0.82,g,53 %
"Carbohydrate",26.37,g,10 %
"Fiber",9.14,g,33 %
"Starch",0,g,
"Sugars",13.53,g,
"Fructose",4.88,g,
"Galactose",0.07,g,
"Glucose",4.03,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.08,g,
"Net carbs",17.23,g,
"0.26 g",0.02 g,undefined,0.08
"Fat",15.308,g,20 %
"Saturated fatty acids",3.486,g,17 %
"Butanoic acid",0.101,g,
"Decanoic acid",0.271,g,
"Docosanoic acid",0.001,g,
"Dodecanoic acid",0.156,g,
"Eicosanoic acid",0.002,g,
"Heptadecanoic acid",0.007,g,
"Hexadecanoic acid",0.998,g,
"Hexanoic acid",0.076,g,
"Octadecanoic acid",0.286,g,
"Octanoic acid",0.074,g,
"Pentadecanoic acid",0.006,g,
"Tetracosanoic acid",0.001,g,
"Tetradecanoic acid",0.387,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",1.229,g,
"Cis-hexadecenoic acid",0.016,g,
"Cis-octadecenoic acid",0.1,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.006,g,
"Heptadecenoic acid",0.003,g,
"Hexadecenoic acid",0.085,g,
"Octadecenoic acid",0.729,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0.001,g,
"Tetradecenoic acid",0,g,
"Trans-hexadecenoic acid",0.001,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",1.168,g,
"α-linolenic acid n-3 (ALA)",0,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.002,g,
"Linoleic acid n-6 (LA)",0.02,g,
"Docosahexaenoic n-3 acid (DHA)",0.222,g,
"Docosapentaenoic n-3 acid (DPA)",0.005,g,
"Docosatetraenoic acid",0.002,g,
"Eicosadienoic acid",0.002,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0.032,g,
"Eicosatetraenoic acid",0.028,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",0.316,g,
"Octadecatetraenoic acid",0.002,g,
"Octadecatrienoic acid",0.318,g,
"Trans-octadecadienoic acid",0,g,
"Fatty acids, total trans",0.002,g,
"Fatty acids, total trans-monoenoic",0.001,g,
"Fatty acids, total trans-polyenoic",0,g,
"Cholesterol",56.5,mg,19 %
"Phytosterols",6.21,mg,
"Alcohol, ethyl",0,g,
"Ash",4.63,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",505.23,g,
