Ingredient,Amount,Unit,Description
"Sweet potato",600,g,"3 medium"
"Extra virgin olive oil",5,g,"1 tsp"
"Salt",0.5,g,"Small pinch"
"Bell pepper",238,g,"2 medium"
"Extra virgin olive oil",5,g,"1 tsp"
"Salt",0.5,g,"Small pinch"
"Chickpeas, drained and rinsed",254,g,"15.5oz can"
"Tomato",120,g,"2 medium"
"Cucumber",301,g,"1 medium"
"Spinach, fresh",60,g,"2 cup"
"Feta cheese",113,g,"3/4 cup"
"Pine nuts",28,g,"1/4 cup"
"Apple cider vinegar",60,g,"1/4 cup"
"Lemon juice",30,g,"2 tbsp"
"Extra virgin olive oil",28,g,"2 tbsp"
"Balsamic vinegar",15,g,"1 tbsp"
"Dijon mustard",15,g,"1 tbsp"
"Minced garlic",15,g,"1 tbsp"
"Basil, dried",2.4,g,"1 tbsp"
"Thyme, dried",3.2,g,"1 tbsp"
"Oregano, dried",2.5,g,"1 tbsp"
"Garlic powder",6,g,"2 tsp"
"Onion powder",6,g,"2 tsp"
"Lemon pepper",8,g,"2 tsp"
"Red pepper flakes",0.5,g,"1/2 tsp"
Servings,6
