Nutrient,Amount,Unit,DV
Calories,460,,
"Vitamin A, RAE",786.65,mcg,87 %
"Carotene, alpha",29.68,mcg,
"Carotene, beta",9180.23,mcg,
"Cryptoxanthin, beta",1.17,mcg,
"Lutein + zeaxanthin",1271.81,mcg,
"Lycopene",0.03,mcg,
"Retinol",20.41,mcg,
"Thiamin [Vitamin B1]",0.374,mg,31 %
"Riboflavin [Vitamin B2]",0.622,mg,48 %
"Niacin [Vitamin B3]",23.125,mg,145 %
"Pantothenic acid [Vitamin B5]",4.623,mg,92 %
"Vitamin B6",2.269,mg,133 %
"Vitamin B12 [Cobalamin]",0.48,mcg,20 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",120.8,mcg,30 %
"Folate, food",120.8,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",68.4,mg,76 %
"Vitamin D",0,mcg,0 %
"Vitamin D3",0,mcg,
"Vitamin E (alpha-tocopherol)",3,mg,20 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",3,mg,
"Tocopherol, beta",0.01,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.54,mg,
"Tocotrienol, alpha",0.02,mg,
"Tocotrienol, beta",0.03,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",113.2,mcg,94 %
"Vitamin K1 [Phylloquinone]",94.1,mcg,
"Vitamin K2 [Menaquinone]",19.1,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",22.8,mg,
"Choline",223.2,mg,41 %
"Calcium",138.84,mg,11 %
"Copper",0.29,mg,32 %
"Fluoride",0.3,mcg,
"Iron",2.76,mg,15 %
"Magnesium",125.34,mg,30 %
"Manganese",0.931,mg,40 %
"Phosphorus",627.91,mg,50 %
"Potassium",1450.88,mg,31 %
"Selenium",56.05,mcg,102 %
"Sodium",1610.26,mg,70 %
"Zinc",2.6,mg,24 %
"Protein",57.86,g,116 %
"Alanine",3.316,g,
"Arginine",3.816,g,
"Aspartic acid",5.549,g,
"Cystine",0.583,g,
"Glutamic acid",8.544,g,
"Glycine",2.502,g,
"Histidine",2.027,g,177 %
"Hydroxyproline",0,g,
"Isoleucine",2.764,g,178 %
"Leucine",4.583,g,134 %
"Lysine",5.21,g,168 %
"Methionine",1.414,g,
"Phenylalanine",2.317,g,
"Proline",1.926,g,
"Serine",2.244,g,
"Threonine",2.551,g,156 %
"Tryptophan",0.711,g,174 %
"Tyrosine",1.967,g,
"Valine",2.963,g,151 %
"Phenylalanine + Tyrosine",4.284,g,159 %
"Methionine + Cysteine",1.414,g,91 %
"Carbohydrate",34.44,g,13 %
"Fiber",7.62,g,27 %
"Starch",12.62,g,
"Sugars",9.99,g,
"Sugars, added",3,g,
"Fructose",1.99,g,
"Galactose",0.04,g,
"Glucose",2.4,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",2.8,g,
"Net carbs",26.82,g,
"0.06 g",0.76 g,undefined,12.68
"Fat",9.643,g,12 %
"Saturated fatty acids",1.833,g,9 %
"Butanoic acid",0,g,
"Decanoic acid",0.043,g,
"Docosanoic acid",0.007,g,
"Dodecanoic acid",0.009,g,
"Eicosanoic acid",0.002,g,
"Heptadecanoic acid",0.007,g,
"Hexadecanoic acid",0.971,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.304,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0.007,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.026,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",3.901,g,
"Cis-hexadecenoic acid",0.188,g,
"Cis-octadecenoic acid",1.325,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.023,g,
"Heptadecenoic acid",0.005,g,
"Hexadecenoic acid",0.188,g,
"Octadecenoic acid",1.376,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.007,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0.014,g,
"Polyunsaturated fatty acids",1.565,g,
"α-linolenic acid n-3 (ALA)",0.03,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.014,g,
"Linoleic acid n-6 (LA)",0.72,g,
"Docosahexaenoic n-3 acid (DHA)",0.009,g,
"Docosapentaenoic n-3 acid (DPA)",0.014,g,
"Docosatetraenoic acid",0.029,g,
"Eicosadienoic acid",0.027,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0.027,g,
"Eicosapentaenoic n-3 acid (EPA)",0.007,g,
"Eicosatetraenoic acid",0.109,g,
"Octadecadienoic CLAs acid",0.002,g,
"Octadecadienoic acid",0.801,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.154,g,
"Trans-octadecadienoic acid",0.002,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0.016,g,
"Fatty acids, total trans-monoenoic",0.014,g,
"Fatty acids, total trans-polyenoic",0.002,g,
"Cholesterol",165.56,mg,55 %
"Phytosterols",16.47,mg,
"Alcohol, ethyl",0,g,
"Ash",6.97,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",393.74,g,
