Ingredient,Amount,Unit,Description
"Spices, chili powder",16,g,"6 tsp"
"Spices, paprika",7,g,"3 tsp"
"Cumin ground by ROUNDY'S",10,g,"3 tsp"
"Spices, garlic powder",9,g,"3 tsp"
"Spices, onion powder",7,g,"3 tsp"
"Salt, table",6,g,"1 tsp"
"Spices, black, pepper",2,g,"1 tsp, ground"
"Spices, dried, oregano",1,g,"1 tsp, leaves"
"Squash, raw, includes skin, zucchini, summer",588,g,"3 medium"
"Extra virgin olive oil by QO",7,g,"0.5 tbsp"
"Peppers, raw, red, sweet",148,g,"2 small"
"Onions, raw",70,g,"1 small"
"Extra virgin olive oil by OLIO",7,g,"0.5 tbsp"
"Turkey, raw, 7% fat, 93% lean, ground",589,g,"1.3 lb"
"Extra virgin olive oil by BRAGG",7,g,"0.5 tbsp"
"Minced garlic by STONEMILL",20,g,"4 tsp"
"Tomatoes, diced, ripe, red, canned",411,g,"14.5 oz can"
"Lime juice from concentrate by Safeway, Inc.",30,g,"2 tbsp"
Servings,5
