Ingredient,Amount,Unit,Description
"Ground turkey, 93/7",589,g,"1.3 lb"
"Onion powder",3,g,"1 tsp"
"Garlic powder",3,g,"1 tsp"
"Chili powder",3,g,"1 tsp"
"Cumin, ground",1.5,g,"1/2 tsp"
"Ginger, ground",1,g,"1/2 tsp"
"Black pepper, ground",1.5,g,"1/2 tsp"
"Salt",3,g,"1/2 tsp"
"Soy sauce, low sodium, gluten free",15,g,"1 tbsp"
"Gochujang",9,g,"1/2 tbsp"
"Cabbage",1190,g,"1 large head, shredded"
"Carrots",275,g,"2.5 cup grated"
"Extra virgin olive oil",7.5,g,"1/2 tbsp"
"Salt",0.75,g,"1/8 tsp"
"Minced garlic",25,g,"5 tsp"
"Soy sauce, low sodium, gluten free",60,g,"1/4 cup"
"Gochujang",27,g,"1 1/2 tbsp"
"White cooking wine",15,g,"1 tbsp"
"Sesame oil",15,g,"1 tbsp"
"Ginger, ground",2,g,"1 tsp"
"Red pepper flakes",0.5,g,"1/2 tsp"
Servings,5
