Ingredient,Amount,Unit,Description
"Beets",200,g,"1 large"
"Bell pepper",164,g,"1 large"
"Extra virgin olive oil",2.5,g,"1/2 tsp"
"Salt",0.75,g,"1/8 tsp"
"Black pepper, ground",0.38,g,"1/8 tsp"
"Quinoa",45,g,"1/4 cup"
"Water",120,g,"1/2 cup"
"Salt",0.75,g,"1/8 tsp"
"Frozen kale, thawed",454,g,"1 lb"
"Extra virgin olive oil",5,g,"1 tsp"
"Chili powder",10,g,"1 tbsp"
"Garlic powder",4.5,g,"1/2 tbsp"
"Onion powder",4.5,g,"1/2 tbsp"
"Lemon pepper",4,g,"1 tsp"
"Avocado",136,g,"1 medium"
"Kiwi",69,g,"1 medium"
"Pumpkin seeds",28,g,"1 oz"
"Canned salmon",170,g,"2 x 5 oz, drained"
"Sauerkraut",60,g,"1/4 cup"
"Dijon mustard",30,g,"2 tbsp"
Servings,2
